
    Tick   Ticks   Modus   CPU/Tick   CPU/Max   CPU/Raum   CPU/Creep    Bucket-Ø   Bucket-Min   Räume   Creeps
82081847     100    full       8.32     15.43       0.92        0.22        2283         1742    9.00    37.49
82081947     100    full       7.98     14.51       0.89        0.22        3371         2824    9.00    35.94
82082047     100    full       8.50     17.72       0.94        0.22        4467         3935    9.00    38.63
82082147     100    full       9.50     16.78       1.06        0.23        5470         4995    9.00    41.26
82082247     100    full       9.53     18.98       1.06        0.22        6436         5955    9.00    42.96
82082347     100    full       9.40     16.85       1.04        0.21        7405         6911    9.00    44.29
82082447     100    full       9.85     16.65       1.09        0.23        8335         7885    9.00    43.11
82082547     100    full       9.71     18.65       1.08        0.22        9279         8812    9.00    44.41
82082647     100    full       8.60     17.10       0.96        0.20        2969            9    9.00    43.48
82082747     100    full       9.28     16.18       1.03        0.22        1268          790    9.00    42.13
82082847     100    full       8.53     16.95       0.95        0.21        2283         1769    9.00    40.89
82082947     100    full       8.68     16.35       0.96        0.20        3355         2827    9.00    42.91
82083047     100    full       8.97     15.98       1.00        0.21        4378         3871    9.00    43.07
82083147     100    full       8.94     15.64       0.99        0.21        5393         4884    9.00    42.83
82083247     100    full       9.46     16.73       1.05        0.21        6371         5902    9.00    44.97
82083347     100    full       9.55     19.95       1.06        0.21        7333         6863    9.00    45.00
82083447     100    full       8.99     16.56       1.00        0.20        8312         7818    9.00    44.93
82083547     100    full       8.58     15.22       0.95        0.20        9351         8829    9.00    43.58
82083647     100    full       8.33     16.27       0.93        0.20        1818           11    9.00    41.77
82083747     100    full       8.45     16.62       0.94        0.22        1464          946    9.00    39.20
82083847     100    full       7.30     14.03       0.81        0.19        2594         2012    9.00    37.57
82083947     100    full       8.33     14.26       0.93        0.21        3739         3192    9.00    38.87
82084047     100    full       8.16     14.32       0.91        0.21        4802         4266    9.00    38.74
82084147     100    full       7.89     20.31       0.88        0.20        5927         5363    9.00    39.77
82084247     100    full       9.09     16.88       1.01        0.21        6976         6486    9.00    43.42
82084347     100    full       9.18     14.31       1.02        0.20        7984         7486    9.00    45.10
82084447     100    full       8.72     15.43       0.97        0.19        8994         8479    9.00    45.39
82084547     100    full       7.89     15.45       0.88        0.18        4760           13    9.00    45.02
82084647     100    full       8.59     14.68       0.95        0.19        1164          638    9.00    46.08
82084747     100    full       8.95     16.57       0.99        0.20        2190         1694    9.00    45.55
82084847     100    full       9.36     15.95       1.04        0.20        3187         2710    9.00    45.85
82084947     100    full       9.41     17.39       1.05        0.20        4167         3680    9.00    47.01
82085047     100    full       9.35     17.12       1.04        0.20        5134         4653    9.00    47.64
82085147     100    full      10.08     17.91       1.12        0.20        6083         5632    9.00    49.30
82085247     100    full       9.49     16.62       1.05        0.20        7007         6533    9.00    48.36
82085347     100    full       9.47     16.41       1.05        0.19        7975         7500    9.00    49.81
82085447     100    full       9.70     17.54       1.08        0.20        8926         8467    9.00    48.83
82085547     100    full       8.66     16.17       0.96        0.18        6007           10    9.00    48.43
82085647     100    full       9.24     19.07       1.03        0.19         916          431    9.00    47.69
82085747     100    full       8.52     16.67       0.95        0.20        1938         1418    9.00    41.77
82085847     100    full       8.14     14.34       0.90        0.20        3023         2474    9.00    41.67
82085947     100    full       8.66     14.24       0.96        0.20        4099         3577    9.00    43.25
82086047     100    full       9.21     13.84       1.02        0.21        5116         4624    9.00    43.83
82086147     100    full       8.54     15.30       0.95        0.19        6129         5615    9.00    45.91
82086247     100    full       8.15     17.34       0.91        0.18        7202         6666    9.00    45.28
82086347     100    full       9.79     19.08       1.09        0.21        8228         7765    9.00    47.42
82086447     100    full       9.48     17.78       1.05        0.20        9164         8698    9.00    47.77
82086547     100    full       8.25     17.71       0.92        0.18        3781           13    9.00    46.57
82086647     100    full       9.28     16.42       1.03        0.20        1232          738    9.00    46.10
82086747     100    full       9.00     15.75       1.00        0.19        2211         1717    9.00    46.60
82086847     100    full       8.39     15.43       0.93        0.18        3252         2724    9.00    46.08
82086947     100    full       9.58     16.00       1.06        0.20        4279         3796    9.00    47.68
82087047     100    full       9.26     16.14       1.03        0.20        5233         4749    9.00    46.46
82087147     100    full       8.86     19.36       0.98        0.19        6241         5734    9.00    45.60
